iter	MultiClass
592	0.4377721186
593	0.4376911248
594	0.4375627208
595	0.4375060508
596	0.4374836296
597	0.4374553207
598	0.4372849027
599	0.4372389877
600	0.4371771432
601	0.437150472
602	0.4371258425
603	0.4371021308
604	0.4370327408
605	0.4370059886
606	0.4369832694
607	0.4369543097
608	0.4369236988
609	0.4368967054
610	0.4367426695
611	0.4367265639
612	0.4365542418
613	0.4364334129
614	0.43641285
615	0.4359971524
616	0.4359727045
617	0.4359322376
618	0.4358730993
619	0.4358215639
620	0.4357589585
621	0.4357353134
622	0.4355986857
623	0.4355762168
624	0.4355365421
625	0.4350363808
626	0.4349755492
627	0.4349433559
628	0.4349000041
629	0.4348835087
630	0.4348453447
631	0.4348141715
632	0.4347849332
633	0.434752526
634	0.4347260488
635	0.4346953295
636	0.4346582159
637	0.4346340485
638	0.4346084274
639	0.4345634349
640	0.4345256738
641	0.434454249
642	0.4344376582
643	0.4344061749
644	0.4343834706
645	0.4341335319
646	0.4341132884
647	0.4340733107
648	0.4339767413
649	0.4339434983
650	0.4339073948
651	0.4338810214
652	0.4338466246
653	0.4336897344
654	0.4336503297
655	0.4334122606
656	0.4333882002
657	0.4333633899
658	0.4332988011
659	0.4332713458
660	0.4331931489
661	0.4331592385
662	0.4331189791
663	0.4330844015
664	0.4330712834
665	0.4330355795
666	0.4330077808
667	0.4329714081
668	0.4329346619
669	0.4329042287
670	0.4328559659
671	0.4328329608
672	0.4328125294
673	0.4327844856
674	0.4327651548
675	0.4327527911
676	0.4327208837
677	0.4326349939
678	0.4326130666
679	0.4324686675
680	0.4324076755
681	0.4323877749
682	0.4322380777
683	0.4322183426
684	0.4321906002
685	0.4321618859
686	0.4319757212
687	0.4319498125
688	0.4319186717
689	0.43190317
690	0.4318846965
691	0.4318659281
692	0.4318351872
693	0.4313000022
694	0.4310422402
695	0.4310096802
696	0.4308985168
697	0.4308792687
698	0.430831531
699	0.4307891012
700	0.4307608255
701	0.4307175269
702	0.4306957409
703	0.4306434335
704	0.4306078536
705	0.4305751503
706	0.4305557173
707	0.4304785802
708	0.4304511385
709	0.4304340604
710	0.4303891234
711	0.4302997053
712	0.4302713365
713	0.4302531762
714	0.4302253291
715	0.4301950662
716	0.4300627366
717	0.4300232058
718	0.4300050753
719	0.4299857081
720	0.4296111643
721	0.4295728197
722	0.4293919359
723	0.429358165
724	0.4291746078
725	0.4291253142
726	0.4290983606
727	0.429067289
728	0.4290385209
729	0.4290046121
730	0.4289789501
731	0.4289270254
732	0.4289113781
733	0.4286476815
734	0.4286184739
735	0.4285960004
736	0.428567739
737	0.4285193858
738	0.4284977411
739	0.4284675764
740	0.428442621
741	0.42839
742	0.4283445416
743	0.4281976174
744	0.4281673291
745	0.4281401684
746	0.4281136684
747	0.4280942779
748	0.4280462823
749	0.4279845487
750	0.4279624216
751	0.4279448912
752	0.4279266756
753	0.4279044635
754	0.4278886084
755	0.4277080995
756	0.4276917371
757	0.4276686741
758	0.4276369872
759	0.4276056501
760	0.4275881407
761	0.4275231325
762	0.4275017671
763	0.4274701584
764	0.4274453782
765	0.4274263707
766	0.4274128441
767	0.4273810787
768	0.4273510603
769	0.4273290849
770	0.4273044984
771	0.4272882063
772	0.4272493513
773	0.4272257281
774	0.4270708086
775	0.4270380519
776	0.4269640024
777	0.4269325943
778	0.426895661
779	0.426876988
780	0.4268594056
781	0.4268201012
782	0.426788463
783	0.4267455467
784	0.4267047584
785	0.4266553906
786	0.4266311854
787	0.4266145089
788	0.4265765906
789	0.4265221639
790	0.4264100901
791	0.4263493489
792	0.4260095466
793	0.4259769946
794	0.4259496751
795	0.425925489
796	0.4258946586
797	0.4258673859
798	0.4258394897
799	0.4257987988
800	0.4257843148
801	0.4257624676
802	0.4257434856
803	0.4256870545
804	0.4256526571
805	0.4256246387
806	0.4256039528
807	0.4255867377
808	0.4255203285
809	0.4254949791
810	0.4254553812
811	0.4254220119
812	0.4253931843
813	0.4253711312
814	0.4253426705
815	0.4252889835
816	0.4252750237
817	0.4252634661
818	0.4252455236
819	0.4252066687
820	0.42515362
821	0.4251359169
822	0.4251017546
823	0.4250750035
824	0.4250555972
825	0.4250373643
826	0.4250181514
827	0.4249766354
828	0.4249245801
829	0.4249006649
830	0.4248633595
831	0.4248431233
832	0.4248034683
833	0.4247707436
834	0.4246886352
835	0.4246607747
836	0.4246303956
837	0.4245986238
838	0.4245602226
839	0.4245422415
840	0.4245143472
841	0.4244897446
842	0.4244466804
843	0.4244110147
844	0.4243986148
845	0.4243712539
846	0.4243332802
847	0.4243065439
848	0.4242781465
849	0.4242514391
850	0.424225463
851	0.4241973023
852	0.424142676
853	0.4241172991
854	0.4240604213
855	0.4240339182
856	0.424016005
857	0.4239734456
858	0.4239536634
859	0.4238793907
860	0.4238513695
861	0.4238263092
862	0.423800315
863	0.4237272133
864	0.4237020764
865	0.4236725789
866	0.4236398585
867	0.4236281073
868	0.4236111562
869	0.4235853524
870	0.4235485666
871	0.4235227636
872	0.4234904344
873	0.4234310264
874	0.4233954146
875	0.4233795327
876	0.4233539615
877	0.4233255442
878	0.4230317213
879	0.4229974854
880	0.4229730293
881	0.4227751062
882	0.422761216
883	0.4227328975
884	0.4227151293
885	0.4226994505
886	0.4226687831
887	0.4226375019
888	0.4225974488
889	0.4225760946
890	0.4225542251
891	0.4225281215
892	0.4225104151
893	0.4224747298
894	0.4224550373
895	0.4224031674
896	0.4223789763
897	0.4223532305
898	0.4222549125
899	0.4222416369
900	0.4219693644
901	0.4219399212
902	0.4219163488
903	0.4218518246
904	0.4218345287
905	0.4218051879
906	0.4217833698
907	0.4217587339
908	0.421449409
909	0.4214184891
910	0.4213830483
911	0.4213563199
912	0.421312688
913	0.4212625122
914	0.4212441496
915	0.4212242864
916	0.4211846311
917	0.4211613734
918	0.4211198269
919	0.421074302
920	0.4210556838
921	0.4210356946
922	0.421004408
923	0.4209695758
924	0.4209275943
925	0.4208177621
926	0.4205909903
927	0.4205549693
928	0.4205337999
929	0.4205080205
930	0.4204588181
931	0.4204375228
932	0.4203673203
933	0.4203344179
934	0.4203133065
935	0.4202874421
936	0.4202597904
937	0.4202366534
938	0.420216052
939	0.4201931836
940	0.4201545008
941	0.4201397753
942	0.4201158896
943	0.4200946143
944	0.420062859
945	0.4200430246
946	0.4200173867
947	0.4200025453
948	0.4199844196
949	0.4199295621
950	0.419870176
951	0.4198529114
952	0.4198128451
953	0.4197938406
954	0.4197763857
955	0.4197607288
956	0.4197430527
957	0.4195744839
958	0.4195159379
959	0.4194994438
960	0.4194707144
961	0.4194440092
962	0.4194146512
963	0.4194014973
964	0.4193871492
965	0.4193035669
966	0.4192821469
967	0.4190834833
968	0.4190744033
969	0.4190586604
970	0.4190378636
971	0.4189616796
972	0.4189346563
973	0.4189039709
974	0.4187903041
975	0.4186997342
976	0.418676964
977	0.4186610689
978	0.4186157648
979	0.4185918879
980	0.4185571647
981	0.4185141559
982	0.418491822
983	0.4184743267
984	0.4184457079
985	0.4184069512
986	0.4183633239
987	0.4183436721
988	0.4183156552
989	0.4182868966
990	0.4182642101
991	0.4182403708
992	0.4182218044
993	0.4181018119
994	0.4180752842
995	0.4180568485
996	0.4180339851
997	0.4180132728
998	0.4179837815
999	0.4179300227
