Dataset,Row Index,fit_time_mean,fit_time_std_dev,f1_macro_mean,f1_macro_std_dev,f1_weighted_mean,f1_weighted_std_dev,vectorizer,ngram_range,preprocessor,max_df,learning_rate,n_estimators,rsm,depth,classifier,colsample_bytree,max_depth
d1,48,639.3049116134644,6.164258156958229,0.6622351872177963,0.005225693135885694,0.7764230532795525,0.004543061568219087,CountVectorizer,"[1, 3]",,0.5,0.001,1000,0.75,6.0,CatBoost,,
d1,49,1416.033765355746,28.10590567072469,0.6879107269050843,0.004782843072778105,0.7962249976506589,0.004405266423930319,CountVectorizer,"[1, 3]",,0.5,0.001,1000,0.75,10.0,CatBoost,,
d1,50,630.9842201073965,7.497080359557493,0.6615125646733043,0.005780158888473812,0.7759238860583865,0.004969337419103571,CountVectorizer,"[1, 3]",,0.5,0.001,1000,1.0,6.0,CatBoost,,
d1,51,1388.7753636042278,10.009176169861792,0.6873114716731364,0.004709760964015914,0.7957230255107511,0.00424764533839531,CountVectorizer,"[1, 3]",,0.5,0.001,1000,1.0,10.0,CatBoost,,
d1,52,136.67442750930786,16.500625431399467,0.7230310527101067,0.0058629396105402245,0.8251845920102974,0.004679608296014331,CountVectorizer,"[1, 3]",,0.5,0.1,1000,0.75,6.0,CatBoost,,
d1,53,281.2097273667653,41.98358781148041,0.7260696104071888,0.005227358098602471,0.8285080607542429,0.0043654269867484715,CountVectorizer,"[1, 3]",,0.5,0.1,1000,0.75,10.0,CatBoost,,
d1,54,153.3197229305903,17.14082995202373,0.7244653519495353,0.00600381104740208,0.8266201612419133,0.0049745570580048346,CountVectorizer,"[1, 3]",,0.5,0.1,1000,1.0,6.0,CatBoost,,
d1,55,279.38158917427063,32.8654064651395,0.7270263081559752,0.006076945028482739,0.8293618247450545,0.004768990178818799,CountVectorizer,"[1, 3]",,0.5,0.1,1000,1.0,10.0,CatBoost,,
d1,56,646.9801108837128,5.590276666549598,0.6622351872177963,0.005225693135885694,0.7764230532795525,0.004543061568219087,CountVectorizer,"[1, 3]",,0.9,0.001,1000,0.75,6.0,CatBoost,,
d1,57,1403.9286593596141,12.366770434646144,0.6879107269050843,0.004782843072778105,0.7962249976506589,0.004405266423930319,CountVectorizer,"[1, 3]",,0.9,0.001,1000,0.75,10.0,CatBoost,,
d1,58,625.7645287513733,4.402827368743815,0.6615125646733043,0.005780158888473812,0.7759238860583865,0.004969337419103571,CountVectorizer,"[1, 3]",,0.9,0.001,1000,1.0,6.0,CatBoost,,
d1,59,1399.1555185715358,13.980582164013025,0.6873114716731364,0.004709760964015914,0.7957230255107511,0.00424764533839531,CountVectorizer,"[1, 3]",,0.9,0.001,1000,1.0,10.0,CatBoost,,
d1,60,136.94005266825357,17.07498760553518,0.7230310527101067,0.0058629396105402245,0.8251845920102974,0.004679608296014331,CountVectorizer,"[1, 3]",,0.9,0.1,1000,0.75,6.0,CatBoost,,
d1,61,280.06286573410034,39.6813799883807,0.7260696104071888,0.005227358098602471,0.8285080607542429,0.0043654269867484715,CountVectorizer,"[1, 3]",,0.9,0.1,1000,0.75,10.0,CatBoost,,
d1,62,154.10232210159302,16.194831298529483,0.7244653519495353,0.00600381104740208,0.8266201612419133,0.0049745570580048346,CountVectorizer,"[1, 3]",,0.9,0.1,1000,1.0,6.0,CatBoost,,
d1,63,281.13409479459125,34.57761185708926,0.7270263081559752,0.006076945028482739,0.8293618247450545,0.004768990178818799,CountVectorizer,"[1, 3]",,0.9,0.1,1000,1.0,10.0,CatBoost,,
d1,0,46.62735891342163,0.3118355532237657,0.6668469875557194,0.005713278454315297,0.7766674492003411,0.005135850552598978,TfidfVectorizer,"[1, 1]",SnowBallStemmer,0.5,0.001,1000,0.75,6.0,CatBoost,,
d1,1,178.99294221401215,0.9523340268669502,0.6962584763632772,0.006127143439740542,0.8030031718775413,0.0052662439635309906,TfidfVectorizer,"[1, 1]",SnowBallStemmer,0.5,0.001,1000,0.75,10.0,CatBoost,,
d1,2,48.896743297576904,1.4244019589886416,0.6675752873443291,0.005397666960582557,0.7772816105825516,0.004995267901691962,TfidfVectorizer,"[1, 1]",SnowBallStemmer,0.5,0.001,1000,1.0,6.0,CatBoost,,
d1,3,179.5302083492279,0.8638095523838106,0.6961156832189953,0.006022874188956301,0.8028789275347643,0.005160360162574704,TfidfVectorizer,"[1, 1]",SnowBallStemmer,0.5,0.001,1000,1.0,10.0,CatBoost,,
d1,4,8.670875906944275,1.0367932550838455,0.7222846170627554,0.006498792431106504,0.8256779221559047,0.005459878772486836,TfidfVectorizer,"[1, 1]",SnowBallStemmer,0.5,0.1,1000,0.75,6.0,CatBoost,,
d1,5,23.773875832557678,2.241500519089275,0.7233755198363783,0.004342256524490776,0.8270014850119489,0.003393121637290343,TfidfVectorizer,"[1, 1]",SnowBallStemmer,0.5,0.1,1000,0.75,10.0,CatBoost,,
d1,6,9.447641650835672,0.6650708543938696,0.7233427341131913,0.004779464397606403,0.8266211488155716,0.0036820481571353605,TfidfVectorizer,"[1, 1]",SnowBallStemmer,0.5,0.1,1000,1.0,6.0,CatBoost,,
d1,7,24.143589933713276,3.5964530095685334,0.7240484825607649,0.007308820875302832,0.8276850116466097,0.005824435982295816,TfidfVectorizer,"[1, 1]",SnowBallStemmer,0.5,0.1,1000,1.0,10.0,CatBoost,,
d1,8,46.97533627351125,0.2549789499156337,0.6668469875557194,0.005713278454315297,0.7766674492003411,0.005135850552598978,TfidfVectorizer,"[1, 1]",SnowBallStemmer,0.9,0.001,1000,0.75,6.0,CatBoost,,
d1,9,179.2552357117335,1.5023247425193342,0.6962584763632772,0.006127143439740542,0.8030031718775413,0.0052662439635309906,TfidfVectorizer,"[1, 1]",SnowBallStemmer,0.9,0.001,1000,0.75,10.0,CatBoost,,
d1,10,47.939884106318154,1.4907443230048938,0.6675752873443291,0.005397666960582557,0.7772816105825516,0.004995267901691962,TfidfVectorizer,"[1, 1]",SnowBallStemmer,0.9,0.001,1000,1.0,6.0,CatBoost,,
d1,11,179.5998910665512,0.8285498677868309,0.6961156832189953,0.006022874188956301,0.8028789275347643,0.005160360162574704,TfidfVectorizer,"[1, 1]",SnowBallStemmer,0.9,0.001,1000,1.0,10.0,CatBoost,,
d1,12,9.245090444882711,1.1043643152996054,0.7222846170627554,0.006498792431106504,0.8256779221559047,0.005459878772486836,TfidfVectorizer,"[1, 1]",SnowBallStemmer,0.9,0.1,1000,0.75,6.0,CatBoost,,
d1,13,23.681632041931152,2.1290490017828687,0.7233755198363783,0.004342256524490776,0.8270014850119489,0.003393121637290343,TfidfVectorizer,"[1, 1]",SnowBallStemmer,0.9,0.1,1000,0.75,10.0,CatBoost,,
d1,14,9.420098265012106,0.6506271788359959,0.7233427341131913,0.004779464397606403,0.8266211488155716,0.0036820481571353605,TfidfVectorizer,"[1, 1]",SnowBallStemmer,0.9,0.1,1000,1.0,6.0,CatBoost,,
d1,15,24.115746021270752,3.6016370725374123,0.7240484825607649,0.007308820875302832,0.8276850116466097,0.005824435982295816,TfidfVectorizer,"[1, 1]",SnowBallStemmer,0.9,0.1,1000,1.0,10.0,CatBoost,,
d1,16,54.97068738937378,1.7600737697408468,0.6599973080936831,0.00648597478746191,0.7745012908606766,0.005549501916892138,TfidfVectorizer,"[1, 1]",,0.5,0.001,1000,0.75,6.0,CatBoost,,
d1,17,200.72091297308603,3.696543975925853,0.6869696144696339,0.004600280366274751,0.7952094575677894,0.004034079844666237,TfidfVectorizer,"[1, 1]",,0.5,0.001,1000,0.75,10.0,CatBoost,,
d1,18,54.73316514492035,1.4634609910982674,0.6602406737554544,0.006778373320155738,0.7747308380007253,0.005659112710868949,TfidfVectorizer,"[1, 1]",,0.5,0.001,1000,1.0,6.0,CatBoost,,
d1,19,202.68343071142831,4.259682348575227,0.6874617316440528,0.004853306134619253,0.7955362857125111,0.004196242341876096,TfidfVectorizer,"[1, 1]",,0.5,0.001,1000,1.0,10.0,CatBoost,,
d1,20,11.888213396072388,1.3318728935914539,0.7243064999957863,0.004238369272918899,0.8269093320819678,0.0036057278570275617,TfidfVectorizer,"[1, 1]",,0.5,0.1,1000,0.75,6.0,CatBoost,,
d1,21,26.785645008087158,3.3875973693691592,0.722217186169225,0.0026510578715424867,0.8252298911304256,0.0024003503179908688,TfidfVectorizer,"[1, 1]",,0.5,0.1,1000,0.75,10.0,CatBoost,,
d1,22,10.94333827495575,1.490119989060265,0.7238725107834681,0.005396484795626414,0.8264483723308175,0.0048449354800480056,TfidfVectorizer,"[1, 1]",,0.5,0.1,1000,1.0,6.0,CatBoost,,
d1,23,27.70233380794525,3.199635365410723,0.7235009779144302,0.005253105469436389,0.8263983614407602,0.004596980004829514,TfidfVectorizer,"[1, 1]",,0.5,0.1,1000,1.0,10.0,CatBoost,,
d1,24,55.47651092211405,1.4238768264260473,0.6599973080936831,0.00648597478746191,0.7745012908606766,0.005549501916892138,TfidfVectorizer,"[1, 1]",,0.9,0.001,1000,0.75,6.0,CatBoost,,
d1,25,200.64526573816934,3.961955256314442,0.6869696144696339,0.004600280366274751,0.7952094575677894,0.004034079844666237,TfidfVectorizer,"[1, 1]",,0.9,0.001,1000,0.75,10.0,CatBoost,,
d1,26,54.41282820701599,1.3514588119425386,0.6602406737554544,0.006778373320155738,0.7747308380007253,0.005659112710868949,TfidfVectorizer,"[1, 1]",,0.9,0.001,1000,1.0,6.0,CatBoost,,
d1,27,200.69835905234018,3.5981803644493335,0.6874617316440528,0.004853306134619253,0.7955362857125111,0.004196242341876096,TfidfVectorizer,"[1, 1]",,0.9,0.001,1000,1.0,10.0,CatBoost,,
d1,28,11.3405259847641,1.323494831873068,0.7243064999957863,0.004238369272918899,0.8269093320819678,0.0036057278570275617,TfidfVectorizer,"[1, 1]",,0.9,0.1,1000,0.75,6.0,CatBoost,,
d1,29,26.67957377433777,3.336283433159212,0.722217186169225,0.0026510578715424867,0.8252298911304256,0.0024003503179908688,TfidfVectorizer,"[1, 1]",,0.9,0.1,1000,0.75,10.0,CatBoost,,
d1,30,11.471861799558004,1.4601124151095162,0.7238725107834681,0.005396484795626414,0.8264483723308175,0.0048449354800480056,TfidfVectorizer,"[1, 1]",,0.9,0.1,1000,1.0,6.0,CatBoost,,
d1,31,27.461792667706806,3.341117113335926,0.7235009779144302,0.005253105469436389,0.8263983614407602,0.004596980004829514,TfidfVectorizer,"[1, 1]",,0.9,0.1,1000,1.0,10.0,CatBoost,,
d1,32,689.9384181102117,2.1454879721190996,0.6702956405791918,0.004786364352503357,0.7793840796982794,0.004259492047249236,TfidfVectorizer,"[1, 3]",SnowBallStemmer,0.5,0.001,1000,0.75,6.0,CatBoost,,
d1,33,1675.7678621610005,32.539654414494855,0.6981079894430584,0.006094065369770605,0.8043342274191322,0.005177676515168061,TfidfVectorizer,"[1, 3]",SnowBallStemmer,0.5,0.001,1000,0.75,10.0,CatBoost,,
d1,34,675.7831105391184,4.777992533638821,0.6704308774031329,0.005278011331331847,0.779468348681864,0.004875085412112575,TfidfVectorizer,"[1, 3]",SnowBallStemmer,0.5,0.001,1000,1.0,6.0,CatBoost,,
d1,35,1690.309180855751,34.89143062150538,0.6975068792758896,0.005877896603976079,0.8037786182959508,0.004946583972422052,TfidfVectorizer,"[1, 3]",SnowBallStemmer,0.5,0.001,1000,1.0,10.0,CatBoost,,
d1,36,128.80753449598947,14.527149667830452,0.7228576142211147,0.005204601230286382,0.825810504672763,0.004594649943040926,TfidfVectorizer,"[1, 3]",SnowBallStemmer,0.5,0.1,1000,0.75,6.0,CatBoost,,
d1,37,237.01517216364542,43.532116428385685,0.7225234136083336,0.003113605556062056,0.8257036502827869,0.0020710850104663325,TfidfVectorizer,"[1, 3]",SnowBallStemmer,0.5,0.1,1000,0.75,10.0,CatBoost,,
d1,38,134.59955279032388,14.71701770770662,0.7235313237414074,0.0060009797346876215,0.8263025086169397,0.00473036464765439,TfidfVectorizer,"[1, 3]",SnowBallStemmer,0.5,0.1,1000,1.0,6.0,CatBoost,,
d1,39,262.398286541303,32.00834935711473,0.7245419698205389,0.004988950191691235,0.8276754825663936,0.0040838383194887855,TfidfVectorizer,"[1, 3]",SnowBallStemmer,0.5,0.1,1000,1.0,10.0,CatBoost,,
d1,40,699.4321005344391,5.82727607153439,0.6702956405791918,0.004786364352503357,0.7793840796982794,0.004259492047249236,TfidfVectorizer,"[1, 3]",SnowBallStemmer,0.9,0.001,1000,0.75,6.0,CatBoost,,
d1,41,1698.9805223544438,11.880143202060575,0.6981079894430584,0.006094065369770605,0.8043342274191322,0.005177676515168061,TfidfVectorizer,"[1, 3]",SnowBallStemmer,0.9,0.001,1000,0.75,10.0,CatBoost,,
d1,42,682.8011446396509,3.66410932202504,0.6704308774031329,0.005278011331331847,0.779468348681864,0.004875085412112575,TfidfVectorizer,"[1, 3]",SnowBallStemmer,0.9,0.001,1000,1.0,6.0,CatBoost,,
d1,43,1690.7273032267888,17.434346907414344,0.6975068792758896,0.005877896603976079,0.8037786182959508,0.004946583972422052,TfidfVectorizer,"[1, 3]",SnowBallStemmer,0.9,0.001,1000,1.0,10.0,CatBoost,,
d1,44,129.76062361399332,15.625453829401936,0.7228576142211147,0.005204601230286382,0.825810504672763,0.004594649943040926,TfidfVectorizer,"[1, 3]",SnowBallStemmer,0.9,0.1,1000,0.75,6.0,CatBoost,,
d1,45,235.0127533276876,44.33709422230173,0.7225234136083336,0.003113605556062056,0.8257036502827869,0.0020710850104663325,TfidfVectorizer,"[1, 3]",SnowBallStemmer,0.9,0.1,1000,0.75,10.0,CatBoost,,
d1,46,134.9257208108902,15.550608455992071,0.7235313237414074,0.0060009797346876215,0.8263025086169397,0.00473036464765439,TfidfVectorizer,"[1, 3]",SnowBallStemmer,0.9,0.1,1000,1.0,6.0,CatBoost,,
d1,47,263.62665843963623,36.52839906636367,0.7245419698205389,0.004988950191691235,0.8276754825663936,0.0040838383194887855,TfidfVectorizer,"[1, 3]",SnowBallStemmer,0.9,0.1,1000,1.0,10.0,CatBoost,,
d1,48,707.2295177380244,4.389000127867224,0.6650189941652155,0.005934527361153276,0.7783778087046095,0.005265852889761887,TfidfVectorizer,"[1, 3]",,0.5,0.001,1000,0.75,6.0,CatBoost,,
d1,49,1773.9926112890244,17.466824624810354,0.6881333114884941,0.005067815308227862,0.7950844207261812,0.004501816094224793,TfidfVectorizer,"[1, 3]",,0.5,0.001,1000,0.75,10.0,CatBoost,,
d1,50,694.5316704114279,3.4271583343317706,0.6645691967739916,0.00693468837524559,0.7777723588507103,0.00598129945441445,TfidfVectorizer,"[1, 3]",,0.5,0.001,1000,1.0,6.0,CatBoost,,
d1,51,1809.995426416397,21.564449031886383,0.6878232071077485,0.005141895757094517,0.7948874792490322,0.0044637758420452275,TfidfVectorizer,"[1, 3]",,0.5,0.001,1000,1.0,10.0,CatBoost,,
d1,52,132.29665728410086,11.32345602192786,0.7233576771145511,0.004869976994509038,0.825506995106851,0.0038546863117037834,TfidfVectorizer,"[1, 3]",,0.5,0.1,1000,0.75,6.0,CatBoost,,
d1,53,258.3212708234787,44.7998808085657,0.7232456120882201,0.007257859525026205,0.8255143988401467,0.006285409077411939,TfidfVectorizer,"[1, 3]",,0.5,0.1,1000,0.75,10.0,CatBoost,,
d1,54,130.60016719500223,14.425648973739525,0.722814349380014,0.005183701063503366,0.8251367151745992,0.004202753778132251,TfidfVectorizer,"[1, 3]",,0.5,0.1,1000,1.0,6.0,CatBoost,,
d1,55,278.7883935372035,24.145892775803855,0.7260498027207237,0.006292950139087763,0.8281610041297675,0.005235743994578765,TfidfVectorizer,"[1, 3]",,0.5,0.1,1000,1.0,10.0,CatBoost,,
d1,56,705.9141465425491,4.605474470736715,0.6650189941652155,0.005934527361153276,0.7783778087046095,0.005265852889761887,TfidfVectorizer,"[1, 3]",,0.9,0.001,1000,0.75,6.0,CatBoost,,
d1,57,1840.8536054690678,9.409852558283989,0.6881333114884941,0.005067815308227862,0.7950844207261812,0.004501816094224793,TfidfVectorizer,"[1, 3]",,0.9,0.001,1000,0.75,10.0,CatBoost,,
d1,58,697.4269834359487,3.956763475538029,0.6645691967739916,0.00693468837524559,0.7777723588507103,0.00598129945441445,TfidfVectorizer,"[1, 3]",,0.9,0.001,1000,1.0,6.0,CatBoost,,
d1,59,1789.0306134621303,25.258690984823357,0.6878232071077485,0.005141895757094517,0.7948874792490322,0.0044637758420452275,TfidfVectorizer,"[1, 3]",,0.9,0.001,1000,1.0,10.0,CatBoost,,
d1,60,133.1678435007731,11.902640913840806,0.7233576771145511,0.004869976994509038,0.825506995106851,0.0038546863117037834,TfidfVectorizer,"[1, 3]",,0.9,0.1,1000,0.75,6.0,CatBoost,,
